order_id,seller_id,created_at,updated_at,cancelled_at,discount,email,customer,address,notes,items
7c216b91-7ab0-32fc-9ab6-51e369d3fbd7,4c744572-2045-32e7-8f9c-017b8fc21240,2025-06-29T16:17:10+00:00,,,37.93,roob.celia@yahoo.com,"Michelle Klocko","{""street"":""52182 Lowell Burg Suite 514"",""city"":""South Mckayla"",""zip"":""63544-8234"",""country"":""Chile""}","[""Saepe voluptatem laudantium suscipit nostrum a aspernatur."",""Omnis ea aliquid ducimus itaque repellat in aut."",""Sunt eos necessitatibus mollitia."",""Officiis voluptatem quod maxime consectetur similique.""]","[{""sku"":""SKU_0003"",""quantity"":2,""price"":292.53},{""sku"":""SKU_0002"",""quantity"":1,""price"":437.5},{""sku"":""SKU_0003"",""quantity"":1,""price"":292.53},{""sku"":""SKU_0003"",""quantity"":5,""price"":292.53}]"
f19baae8-b388-3af2-88d5-8c10dd1e3d0e,b3511b96-ff1d-3a4a-8c72-a81e5d0f4668,2025-01-16T23:17:24+00:00,,,23.91,darion77@oberbrunner.org,"Gracie Toy","{""street"":""674 Valentine Divide"",""city"":""Lilianport"",""zip"":""88065"",""country"":""Bulgaria""}","[""Quos fugit dolores est eligendi rem."",""Debitis quidem nostrum aut ipsa praesentium velit neque est."",""Nostrum ab sunt voluptas nihil."",""Rerum natus vitae itaque asperiores animi architecto consequatur.""]","[{""sku"":""SKU_0002"",""quantity"":5,""price"":437.5},{""sku"":""SKU_0004"",""quantity"":10,""price"":282.63},{""sku"":""SKU_0003"",""quantity"":7,""price"":292.53},{""sku"":""SKU_0004"",""quantity"":10,""price"":282.63}]"
ab0d15f0-163e-3702-bdac-9e7bebca7b56,81686dec-2e4b-3d1d-b981-4ac3d2e75cff,2025-05-03T14:07:16+00:00,2025-05-06T14:07:16+00:00,,,tkuhn@yahoo.com,"Neil O'Conner","{""street"":""10539 Ruecker Run"",""city"":""Randallhaven"",""zip"":""28545-1641"",""country"":""Equatorial Guinea""}","[""Commodi qui illum esse fuga odio ut similique."",""Perferendis sed ad labore minus."",""Debitis voluptatem pariatur aut sunt.""]","[{""sku"":""SKU_0005"",""quantity"":3,""price"":48.61},{""sku"":""SKU_0005"",""quantity"":1,""price"":48.61},{""sku"":""SKU_0002"",""quantity"":6,""price"":437.5},{""sku"":""SKU_0003"",""quantity"":3,""price"":292.53}]"
f3052bbe-f9f2-3506-bdd0-6beed5384cd9,3be1f9d6-3077-3d1b-b7b1-0be0b7d5c820,2025-10-04T02:38:35+00:00,2025-10-07T02:38:35+00:00,,,wauer@haag.com,"Delphia Stark","{""street"":""7300 Auer Trace Suite 700"",""city"":""Bradtkefurt"",""zip"":""09184"",""country"":""Switzerland""}","[""Harum non dolorem neque esse."",""Corrupti numquam est et eius."",""Praesentium voluptatem rerum qui cum."",""Et asperiores aperiam ex ea."",""Enim laboriosam saepe aliquid hic et ut omnis reiciendis.""]","[{""sku"":""SKU_0003"",""quantity"":9,""price"":292.53},{""sku"":""SKU_0004"",""quantity"":3,""price"":282.63}]"
ec4cdf60-0845-3552-8ae9-f5e1021e3c82,b3511b96-ff1d-3a4a-8c72-a81e5d0f4668,2025-03-01T11:35:07+00:00,,,48.56,thiel.leon@johnson.com,"Macey Kassulke","{""street"":""786 Karlie View Suite 986"",""city"":""Hermanchester"",""zip"":""56709"",""country"":""United States of America""}","[""Sit sint omnis blanditiis voluptatum mollitia commodi non.""]","[{""sku"":""SKU_0003"",""quantity"":2,""price"":292.53}]"
835f7b58-2a83-3fd7-90d9-66c606cb7620,d889cb1e-126a-3447-b15d-6961e3b1915e,2025-05-07T16:33:31+00:00,,,37.41,idell74@grant.com,"Amy Runte","{""street"":""9888 Vladimir Key"",""city"":""Lesleyberg"",""zip"":""48642"",""country"":""Chad""}","[""Ab rerum sed maxime eum et."",""Animi eligendi molestiae est ipsum.""]","[{""sku"":""SKU_0002"",""quantity"":8,""price"":437.5}]"
01acc055-5927-38f6-951e-1f0d9fe18638,d889cb1e-126a-3447-b15d-6961e3b1915e,2025-11-07T09:01:27+00:00,2025-11-08T09:01:27+00:00,,37.04,wgreen@marks.com,"Enid Walker","{""street"":""85230 Bartell Road Apt. 799"",""city"":""East Cristian"",""zip"":""34685-6531"",""country"":""Malta""}","[""Distinctio non nostrum dolores necessitatibus voluptatibus."",""Natus natus quo excepturi."",""Eum ducimus inventore laborum error ducimus modi.""]","[{""sku"":""SKU_0003"",""quantity"":5,""price"":292.53},{""sku"":""SKU_0003"",""quantity"":2,""price"":292.53},{""sku"":""SKU_0005"",""quantity"":9,""price"":48.61}]"
0d2880f7-98cf-3728-b847-48e3db5c0a1a,b3511b96-ff1d-3a4a-8c72-a81e5d0f4668,2025-09-04T18:54:22+00:00,2025-09-06T18:54:22+00:00,,,josiane93@jaskolski.com,"Cole Legros","{""street"":""85039 Stephon Valley Suite 139"",""city"":""Strackehaven"",""zip"":""46594-6820"",""country"":""Bermuda""}","[""Placeat quis sit expedita."",""Delectus eius necessitatibus corrupti sit."",""Similique minima sed est.""]","[{""sku"":""SKU_0003"",""quantity"":9,""price"":292.53}]"
9c70fb3c-c3b3-3f25-bcb3-f211d56ae1b4,3be1f9d6-3077-3d1b-b7b1-0be0b7d5c820,2025-06-02T09:28:25+00:00,,,,bcrona@harvey.info,"Lottie Strosin","{""street"":""526 Elaina Port Suite 704"",""city"":""Larsonstad"",""zip"":""97460-1049"",""country"":""Reunion""}","[""Ut architecto minus qui voluptatum officia."",""Expedita dolor est et recusandae.""]","[{""sku"":""SKU_0003"",""quantity"":1,""price"":292.53},{""sku"":""SKU_0003"",""quantity"":3,""price"":292.53},{""sku"":""SKU_0004"",""quantity"":7,""price"":282.63},{""sku"":""SKU_0003"",""quantity"":3,""price"":292.53}]"
e01a28dd-ae95-3482-bd21-9e1998177b3b,81686dec-2e4b-3d1d-b981-4ac3d2e75cff,2025-05-09T13:56:16+00:00,,,17.69,dorcas39@gmail.com,"Oscar Hoeger","{""street"":""366 Legros Street Suite 901"",""city"":""New Brandyfort"",""zip"":""97103"",""country"":""Pitcairn Islands""}","[""Quo debitis et animi dolores est vel omnis asperiores."",""Illo cupiditate rerum voluptatem ipsum eius et.""]","[{""sku"":""SKU_0005"",""quantity"":1,""price"":48.61},{""sku"":""SKU_0005"",""quantity"":4,""price"":48.61}]"
